epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,3331.39,0.71767,0.36572,0.80528,0.9998,1,0.995,0.84419,0.60538,0.33156,0.77575,0.0011486,0.0011486,0.0011486
45,3400.54,0.6542,0.34341,0.79719,0.99986,1,0.995,0.85446,0.5875,0.32951,0.77475,0.0011288,0.0011288,0.0011288
46,3472.66,0.68744,0.35433,0.80361,0.99967,1,0.995,0.84453,0.68045,0.38476,0.77755,0.001109,0.001109,0.001109
47,3538.93,0.70037,0.36572,0.7996,0.99983,1,0.995,0.87425,0.53612,0.32041,0.77007,0.0010892,0.0010892,0.0010892
48,3628.4,0.64488,0.33736,0.79945,0.99985,1,0.995,0.83443,0.68145,0.3958,0.78027,0.0010694,0.0010694,0.0010694
49,3725.87,0.65707,0.34226,0.8027,0.99982,1,0.995,0.84966,0.59565,0.34231,0.77459,0.0010496,0.0010496,0.0010496
50,3791.47,0.71052,0.36195,0.80078,0.99987,1,0.995,0.84431,0.61149,0.33152,0.77799,0.0010298,0.0010298,0.0010298
51,3850.69,0.70959,0.3581,0.79495,0.99985,1,0.995,0.86697,0.57389,0.32032,0.77371,0.00101,0.00101,0.00101
52,3910.08,0.69611,0.36273,0.7933,0.99986,1,0.995,0.8688,0.58583,0.3352,0.77379,0.0009902,0.0009902,0.0009902
53,3970.16,0.67607,0.35031,0.79313,0.99985,1,0.995,0.86122,0.63433,0.35944,0.77559,0.0009704,0.0009704,0.0009704
54,4051.59,0.63152,0.33135,0.7975,0.99982,1,0.995,0.88044,0.49473,0.28905,0.76709,0.0009506,0.0009506,0.0009506
55,4144.27,0.63148,0.32812,0.79932,0.99966,1,0.995,0.87551,0.53977,0.30699,0.77038,0.0009308,0.0009308,0.0009308
56,4220.39,0.59973,0.31792,0.79429,0.9998,1,0.995,0.87691,0.51168,0.31212,0.76897,0.000911,0.000911,0.000911
57,4281.64,0.63353,0.32549,0.79673,0.99988,1,0.995,0.88953,0.48875,0.29828,0.76596,0.0008912,0.0008912,0.0008912
58,4355.99,0.58088,0.30062,0.79586,0.99988,1,0.995,0.87445,0.54787,0.29359,0.7691,0.0008714,0.0008714,0.0008714
59,4443.24,0.65696,0.33181,0.79993,0.99988,1,0.995,0.88844,0.50981,0.30205,0.76902,0.0008516,0.0008516,0.0008516
60,4521.82,0.63643,0.32639,0.7982,0.99987,1,0.995,0.83782,0.68783,0.3355,0.77833,0.0008318,0.0008318,0.0008318
61,4594.38,0.61636,0.32951,0.79923,0.99987,1,0.995,0.86214,0.61131,0.31219,0.77446,0.000812,0.000812,0.000812
62,4656.25,0.65315,0.33245,0.78984,0.99987,1,0.995,0.88076,0.56854,0.30797,0.77246,0.0007922,0.0007922,0.0007922
63,4711.7,0.60572,0.31641,0.79045,0.99988,1,0.995,0.8916,0.50483,0.29222,0.7681,0.0007724,0.0007724,0.0007724
64,8647.74,0.56473,0.28794,0.79365,0.99988,1,0.995,0.86395,0.57749,0.30164,0.77285,0.0007526,0.0007526,0.0007526
65,8716.5,0.6585,0.32849,0.79028,0.99984,1,0.995,0.8971,0.48665,0.28336,0.76484,0.0007328,0.0007328,0.0007328
66,8783.87,0.64527,0.32604,0.79434,0.99988,1,0.995,0.89029,0.50703,0.28502,0.76824,0.000713,0.000713,0.000713
67,8873.73,0.61002,0.30978,0.79841,0.99987,1,0.995,0.85996,0.60305,0.30497,0.77418,0.0006932,0.0006932,0.0006932
68,8942.63,0.60497,0.30778,0.79357,0.99986,1,0.995,0.85843,0.59917,0.31068,0.77256,0.0006734,0.0006734,0.0006734
69,9024.05,0.5825,0.29883,0.7936,0.99987,1,0.995,0.87528,0.53028,0.28252,0.76939,0.0006536,0.0006536,0.0006536
70,9116.12,0.58407,0.29599,0.79163,0.99988,1,0.995,0.87672,0.51942,0.28804,0.76805,0.0006338,0.0006338,0.0006338
71,9186.35,0.58034,0.30368,0.79023,0.99988,1,0.995,0.87161,0.54328,0.29913,0.76957,0.000614,0.000614,0.000614
72,9270.59,0.60339,0.31299,0.79316,0.99985,1,0.995,0.88867,0.49565,0.29597,0.76754,0.0005942,0.0005942,0.0005942
73,9354.87,0.59776,0.30161,0.79015,0.99988,1,0.995,0.89393,0.47576,0.27288,0.7668,0.0005744,0.0005744,0.0005744
74,9437.16,0.58854,0.29963,0.79251,0.99986,1,0.995,0.87721,0.53767,0.28204,0.76994,0.0005546,0.0005546,0.0005546
75,9514.16,0.58565,0.30062,0.7924,0.99986,1,0.995,0.88921,0.49901,0.27886,0.76669,0.0005348,0.0005348,0.0005348
76,9564.86,0.58923,0.30183,0.78749,0.99986,1,0.995,0.89134,0.49662,0.28054,0.76696,0.000515,0.000515,0.000515
77,9632.38,0.5971,0.30471,0.78826,0.99986,1,0.995,0.87567,0.53862,0.3044,0.76832,0.0004952,0.0004952,0.0004952
78,9706.68,0.55671,0.29345,0.78827,0.99987,1,0.995,0.87184,0.55157,0.2985,0.76882,0.0004754,0.0004754,0.0004754
79,9752.32,0.58905,0.29855,0.78509,0.99988,1,0.995,0.8826,0.50012,0.27288,0.76832,0.0004556,0.0004556,0.0004556
80,9832.47,0.57604,0.29263,0.79232,0.99986,1,0.995,0.88994,0.49664,0.26881,0.76675,0.0004358,0.0004358,0.0004358
81,9903.74,0.5869,0.29955,0.78696,0.99984,1,0.995,0.87793,0.52676,0.28257,0.76889,0.000416,0.000416,0.000416
82,9996.57,0.55075,0.27971,0.78898,0.99987,1,0.995,0.87165,0.55399,0.28766,0.76908,0.0003962,0.0003962,0.0003962
83,10080.4,0.53809,0.2782,0.79346,0.99988,1,0.995,0.87411,0.53831,0.28634,0.76964,0.0003764,0.0003764,0.0003764
84,10149.8,0.63221,0.31536,0.7859,0.99988,1,0.995,0.89098,0.49377,0.28164,0.76516,0.0003566,0.0003566,0.0003566
85,10263.2,0.56427,0.28778,0.7932,0.99988,1,0.995,0.89101,0.48549,0.26782,0.76639,0.0003368,0.0003368,0.0003368
86,10357.1,0.51312,0.27002,0.78922,0.9999,1,0.995,0.89188,0.47514,0.26589,0.76452,0.000317,0.000317,0.000317
87,10429.8,0.5622,0.28496,0.7858,0.99988,1,0.995,0.88553,0.49107,0.27086,0.76676,0.0002972,0.0002972,0.0002972
88,10510.5,0.54867,0.27773,0.78697,0.99989,1,0.995,0.89564,0.48104,0.26873,0.76455,0.0002774,0.0002774,0.0002774
89,10564.2,0.56683,0.29191,0.78426,0.99989,1,0.995,0.90125,0.47359,0.26744,0.76431,0.0002576,0.0002576,0.0002576
90,10640.6,0.52526,0.2698,0.78609,0.99988,1,0.995,0.89017,0.46891,0.26102,0.76367,0.0002378,0.0002378,0.0002378
91,10741,0.46987,0.24449,0.77999,0.99989,1,0.995,0.89742,0.4736,0.26124,0.76491,0.000218,0.000218,0.000218
92,10819.7,0.47509,0.24602,0.78006,0.99987,1,0.995,0.88502,0.50535,0.26731,0.76676,0.0001982,0.0001982,0.0001982
93,10910.8,0.44747,0.23648,0.77958,0.99986,1,0.995,0.89554,0.47323,0.25598,0.76416,0.0001784,0.0001784,0.0001784
94,11007.7,0.46199,0.24023,0.78029,0.99988,1,0.995,0.89596,0.47745,0.25976,0.76504,0.0001586,0.0001586,0.0001586
95,11066.5,0.46765,0.24339,0.7785,0.99988,1,0.995,0.87954,0.51837,0.26954,0.76725,0.0001388,0.0001388,0.0001388
96,11141.2,0.46718,0.24306,0.77984,0.99988,1,0.995,0.88921,0.48804,0.2646,0.76588,0.000119,0.000119,0.000119
97,11211.9,0.46059,0.24298,0.77869,0.99988,1,0.995,0.89756,0.46033,0.25174,0.76395,9.92e-05,9.92e-05,9.92e-05
98,11289.1,0.44394,0.23324,0.77855,0.99988,1,0.995,0.8912,0.48775,0.26316,0.76523,7.94e-05,7.94e-05,7.94e-05
99,11353,0.44362,0.23576,0.77624,0.99987,1,0.995,0.89768,0.46543,0.25545,0.76412,5.96e-05,5.96e-05,5.96e-05
100,11439.3,0.43787,0.23216,0.78033,0.99987,1,0.995,0.89364,0.47079,0.25541,0.7643,3.98e-05,3.98e-05,3.98e-05
