epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,677.28,0.55179,0.29654,0.78039,0.99854,1,0.995,0.87185,0.53627,0.31611,0.76577,0.0017162,0.0017162,0.0017162
45,694.125,0.5599,0.30031,0.78291,0.99984,1,0.995,0.83864,0.69746,0.36375,0.77676,0.0017096,0.0017096,0.0017096
46,711.04,0.51266,0.28842,0.78122,0.99987,1,0.995,0.89773,0.47169,0.28482,0.76359,0.001703,0.001703,0.001703
47,725.17,0.51379,0.28545,0.77913,0.99987,1,0.995,0.8896,0.52021,0.29347,0.76724,0.0016964,0.0016964,0.0016964
48,742.115,0.51513,0.28214,0.77945,0.99987,1,0.995,0.87653,0.55573,0.29139,0.76963,0.0016898,0.0016898,0.0016898
49,756.248,0.5152,0.28203,0.78244,0.99988,1,0.995,0.89258,0.50686,0.27274,0.76624,0.0016832,0.0016832,0.0016832
50,771.196,0.49639,0.27403,0.77987,0.99988,1,0.995,0.89248,0.49098,0.27608,0.76664,0.0016766,0.0016766,0.0016766
51,787.263,0.49255,0.27633,0.77541,0.99986,1,0.995,0.8605,0.58282,0.28582,0.7686,0.00167,0.00167,0.00167
52,803.236,0.47956,0.26332,0.77669,0.99986,1,0.995,0.8963,0.47404,0.27268,0.76423,0.0016634,0.0016634,0.0016634
53,818.258,0.50405,0.27845,0.77887,0.99984,1,0.995,0.91815,0.4481,0.28661,0.76551,0.0016568,0.0016568,0.0016568
54,834.176,0.50578,0.2799,0.77748,0.99974,1,0.995,0.87246,0.54342,0.30419,0.76665,0.0016502,0.0016502,0.0016502
55,849.194,0.48491,0.2656,0.77529,0.9998,1,0.995,0.89576,0.51132,0.2744,0.76664,0.0016436,0.0016436,0.0016436
56,862.562,0.54313,0.29273,0.77692,0.99982,1,0.995,0.8758,0.57515,0.32219,0.77096,0.001637,0.001637,0.001637
57,876.419,0.51888,0.27796,0.77946,0.99991,1,0.995,0.89244,0.52428,0.29248,0.76779,0.0016304,0.0016304,0.0016304
58,890.32,0.48982,0.26723,0.77735,0.99985,1,0.995,0.89834,0.48271,0.2604,0.7667,0.0016238,0.0016238,0.0016238
59,906.366,0.4906,0.26562,0.7758,0.99983,1,0.995,0.91473,0.45037,0.26329,0.76557,0.0016172,0.0016172,0.0016172
60,921.304,0.4812,0.26758,0.77636,0.99975,1,0.995,0.87371,0.54653,0.30434,0.76974,0.0016106,0.0016106,0.0016106
61,936.251,0.49734,0.27664,0.77513,0.99987,1,0.995,0.90366,0.4864,0.27653,0.76594,0.001604,0.001604,0.001604
62,951.26,0.45713,0.26682,0.77517,0.99987,1,0.995,0.89107,0.53984,0.30178,0.76697,0.0015974,0.0015974,0.0015974
63,967.507,0.46023,0.26303,0.77414,0.99986,1,0.995,0.89174,0.53006,0.30541,0.76663,0.0015908,0.0015908,0.0015908
64,983.634,0.46328,0.26526,0.77616,0.99986,1,0.995,0.90263,0.46192,0.26609,0.76417,0.0015842,0.0015842,0.0015842
65,997.063,0.45599,0.26107,0.77241,0.99993,1,0.995,0.88359,0.54544,0.29113,0.76761,0.0015776,0.0015776,0.0015776
66,1012.87,0.47436,0.26121,0.77858,0.99988,1,0.995,0.86627,0.59769,0.30591,0.77171,0.001571,0.001571,0.001571
67,1028.81,0.50488,0.26862,0.77998,0.99985,1,0.995,0.90006,0.49967,0.2755,0.76635,0.0015644,0.0015644,0.0015644
68,1045.31,0.46998,0.26528,0.77655,0.99987,1,0.995,0.91113,0.45606,0.27241,0.76517,0.0015578,0.0015578,0.0015578
69,1061.17,0.44916,0.25861,0.77608,0.99986,1,0.995,0.91399,0.44147,0.25916,0.76371,0.0015512,0.0015512,0.0015512
70,1077.01,0.46823,0.26052,0.77518,0.99988,1,0.995,0.90258,0.47559,0.28351,0.76456,0.0015446,0.0015446,0.0015446
71,1091.94,0.47523,0.26489,0.77441,0.99987,1,0.995,0.90811,0.47027,0.26081,0.76706,0.001538,0.001538,0.001538
72,1107.03,0.45873,0.25575,0.77637,0.99988,1,0.995,0.89124,0.49153,0.27567,0.76585,0.0015314,0.0015314,0.0015314
73,1120.78,0.43744,0.25173,0.77309,0.99988,1,0.995,0.90782,0.47367,0.26826,0.76587,0.0015248,0.0015248,0.0015248
74,1133.76,0.46725,0.25584,0.77331,0.99985,1,0.995,0.90896,0.47388,0.27446,0.76466,0.0015182,0.0015182,0.0015182
75,1148.66,0.43074,0.24434,0.77242,0.99988,1,0.995,0.90818,0.45264,0.254,0.7643,0.0015116,0.0015116,0.0015116
76,1161.72,0.44881,0.24825,0.77482,0.99989,1,0.995,0.91595,0.44927,0.25055,0.76442,0.001505,0.001505,0.001505
77,1176.9,0.44969,0.24515,0.77603,0.99988,1,0.995,0.92047,0.44417,0.25686,0.76437,0.0014984,0.0014984,0.0014984
78,1192.93,0.44462,0.24805,0.77211,0.99988,1,0.995,0.90162,0.47821,0.27464,0.76462,0.0014918,0.0014918,0.0014918
79,1209.15,0.44022,0.25026,0.77381,0.99987,1,0.995,0.92074,0.4193,0.24602,0.76163,0.0014852,0.0014852,0.0014852
80,1224.49,0.44313,0.2512,0.77435,0.99986,1,0.995,0.91125,0.46643,0.26391,0.76293,0.0014786,0.0014786,0.0014786
81,1240.5,0.43283,0.2485,0.77239,0.99987,1,0.995,0.91106,0.45139,0.2645,0.76434,0.001472,0.001472,0.001472
82,1256.53,0.44438,0.25079,0.77525,0.99988,1,0.995,0.91578,0.43507,0.24532,0.76527,0.0014654,0.0014654,0.0014654
83,1271.76,0.44252,0.24945,0.76912,0.99987,1,0.995,0.89975,0.48425,0.27371,0.76548,0.0014588,0.0014588,0.0014588
84,1287.09,0.45079,0.2488,0.77468,0.99987,1,0.995,0.92481,0.42901,0.23516,0.76209,0.0014522,0.0014522,0.0014522
85,1304.05,0.45374,0.24672,0.77529,0.99989,1,0.995,0.88924,0.52244,0.25677,0.76717,0.0014456,0.0014456,0.0014456
86,1319.79,0.41507,0.23445,0.77193,0.99987,1,0.995,0.92558,0.40926,0.23185,0.76314,0.001439,0.001439,0.001439
87,1335.72,0.43656,0.23915,0.77153,0.9997,1,0.995,0.91857,0.44169,0.25685,0.76273,0.0014324,0.0014324,0.0014324
88,1351.72,0.41259,0.23048,0.77117,0.99986,1,0.995,0.91688,0.43054,0.24624,0.76408,0.0014258,0.0014258,0.0014258
89,1367.56,0.41748,0.23748,0.77159,0.99989,1,0.995,0.90309,0.47904,0.25421,0.76417,0.0014192,0.0014192,0.0014192
90,1383.41,0.4349,0.24525,0.77287,0.99987,1,0.995,0.90062,0.45901,0.25219,0.76427,0.0014126,0.0014126,0.0014126
91,1399.11,0.42932,0.23958,0.7765,0.99986,1,0.995,0.91611,0.43303,0.24915,0.76268,0.001406,0.001406,0.001406
92,1412.52,0.41962,0.23657,0.77288,0.99988,1,0.995,0.93477,0.3836,0.22934,0.76122,0.0013994,0.0013994,0.0013994
93,1427.58,0.42456,0.23774,0.77262,0.99989,1,0.995,0.92643,0.41946,0.24049,0.76264,0.0013928,0.0013928,0.0013928
94,1442.54,0.41791,0.2331,0.77178,0.99987,1,0.995,0.92504,0.40542,0.23548,0.76234,0.0013862,0.0013862,0.0013862
95,1457.71,0.43931,0.24114,0.77577,0.99989,1,0.995,0.88597,0.52122,0.26247,0.76864,0.0013796,0.0013796,0.0013796
96,1472.73,0.41994,0.23324,0.77199,0.9999,1,0.995,0.93313,0.39434,0.23007,0.76076,0.001373,0.001373,0.001373
97,1487.69,0.45733,0.24528,0.77599,0.99989,1,0.995,0.93015,0.4174,0.23344,0.76214,0.0013664,0.0013664,0.0013664
98,1501.48,0.45501,0.24454,0.77331,0.99988,1,0.995,0.91876,0.44975,0.24342,0.7645,0.0013598,0.0013598,0.0013598
99,1517.51,0.43052,0.2446,0.76924,0.99988,1,0.995,0.92178,0.41303,0.2336,0.76188,0.0013532,0.0013532,0.0013532
100,1532.48,0.40493,0.23391,0.76797,0.99987,1,0.995,0.92148,0.42486,0.24409,0.76259,0.0013466,0.0013466,0.0013466
101,1546,0.4228,0.23581,0.77234,0.99989,1,0.995,0.92065,0.43252,0.2345,0.76382,0.00134,0.00134,0.00134
102,1562.12,0.40931,0.2322,0.76626,0.99987,1,0.995,0.93851,0.40015,0.23186,0.76138,0.0013334,0.0013334,0.0013334
103,1577.29,0.41591,0.23131,0.77393,0.99986,1,0.995,0.92399,0.43565,0.23868,0.76563,0.0013268,0.0013268,0.0013268
104,1592.91,0.39029,0.22406,0.76711,0.99988,1,0.995,0.92758,0.42172,0.24227,0.76407,0.0013202,0.0013202,0.0013202
105,1606.77,0.42528,0.24233,0.77424,0.99988,1,0.995,0.89858,0.51415,0.25832,0.76595,0.0013136,0.0013136,0.0013136
106,1622.71,0.41537,0.2417,0.76895,0.99989,1,0.995,0.93648,0.41709,0.2581,0.76207,0.001307,0.001307,0.001307
107,1638.87,0.42757,0.24092,0.77153,0.99989,1,0.995,0.92165,0.4505,0.25676,0.76392,0.0013004,0.0013004,0.0013004
108,1653.82,0.41646,0.23247,0.76876,0.99988,1,0.995,0.92683,0.41751,0.24316,0.76288,0.0012938,0.0012938,0.0012938
109,1668.8,0.40619,0.23638,0.7686,0.99983,1,0.995,0.91941,0.41805,0.24198,0.76306,0.0012872,0.0012872,0.0012872
110,1681.8,0.38897,0.22676,0.76844,0.99987,1,0.995,0.92533,0.4275,0.25554,0.76253,0.0012806,0.0012806,0.0012806
111,1695.4,0.38372,0.22637,0.77066,0.99987,1,0.995,0.92619,0.43499,0.2536,0.76265,0.001274,0.001274,0.001274
112,1708.44,0.39388,0.22843,0.76935,0.99994,1,0.995,0.92451,0.41912,0.2381,0.76163,0.0012674,0.0012674,0.0012674
113,1723.42,0.41243,0.23612,0.76866,0.99984,1,0.995,0.93225,0.39171,0.23366,0.76269,0.0012608,0.0012608,0.0012608
114,1738.39,0.39101,0.23013,0.77112,0.99987,1,0.995,0.92164,0.42741,0.24927,0.76402,0.0012542,0.0012542,0.0012542
115,1751.39,0.39943,0.22514,0.76877,0.99996,1,0.995,0.92768,0.4266,0.24064,0.76149,0.0012476,0.0012476,0.0012476
116,1765.11,0.38822,0.22291,0.77174,0.99987,1,0.995,0.91768,0.44764,0.25221,0.76355,0.001241,0.001241,0.001241
117,1780.02,0.39875,0.22712,0.76909,0.99986,1,0.995,0.91636,0.45931,0.25336,0.76517,0.0012344,0.0012344,0.0012344
118,1793.04,0.37855,0.22304,0.76673,0.99989,1,0.995,0.92085,0.43775,0.25002,0.76503,0.0012278,0.0012278,0.0012278
119,1806.08,0.38618,0.22555,0.76935,0.99987,1,0.995,0.89974,0.48351,0.24993,0.76584,0.0012212,0.0012212,0.0012212
120,1819.09,0.38691,0.22165,0.76931,0.99988,0.99821,0.995,0.93484,0.39228,0.23825,0.75976,0.0012146,0.0012146,0.0012146
121,1834.09,0.38928,0.22251,0.76697,0.9999,1,0.995,0.92008,0.45052,0.24845,0.76409,0.001208,0.001208,0.001208
122,1849.01,0.41121,0.23028,0.7709,0.9999,1,0.995,0.92772,0.41996,0.24536,0.76374,0.0012014,0.0012014,0.0012014
123,1863.99,0.4138,0.23286,0.76868,0.99988,1,0.995,0.92395,0.43544,0.24563,0.7659,0.0011948,0.0011948,0.0011948
124,1876.99,0.39233,0.22739,0.76994,0.99988,1,0.995,0.93124,0.39394,0.23525,0.76392,0.0011882,0.0011882,0.0011882
125,1891.98,0.39608,0.22199,0.76915,0.99989,1,0.995,0.93836,0.37848,0.21902,0.76103,0.0011816,0.0011816,0.0011816
126,1905.1,0.3866,0.2173,0.77005,0.99988,1,0.995,0.94077,0.40341,0.22368,0.76234,0.001175,0.001175,0.001175
127,1918.76,0.38449,0.21829,0.76692,0.99987,1,0.995,0.93438,0.39961,0.22334,0.76206,0.0011684,0.0011684,0.0011684
128,1931.78,0.38137,0.22128,0.76937,0.99988,1,0.995,0.92942,0.3991,0.2235,0.76091,0.0011618,0.0011618,0.0011618
129,1946.74,0.37332,0.21537,0.76947,0.99989,1,0.995,0.91808,0.41548,0.24311,0.76261,0.0011552,0.0011552,0.0011552
130,1960.12,0.38384,0.22207,0.76885,0.99989,1,0.995,0.93464,0.39673,0.22297,0.76197,0.0011486,0.0011486,0.0011486
131,1973.27,0.39603,0.22281,0.76928,0.99988,1,0.995,0.91497,0.42957,0.24148,0.76304,0.001142,0.001142,0.001142
132,1986.26,0.37008,0.21234,0.76946,0.9999,1,0.995,0.93951,0.38265,0.21467,0.76042,0.0011354,0.0011354,0.0011354
133,1999.79,0.37349,0.21453,0.76873,0.99989,1,0.995,0.92512,0.41095,0.23366,0.76173,0.0011288,0.0011288,0.0011288
134,2014.78,0.36246,0.20954,0.76849,0.9999,1,0.995,0.94362,0.37562,0.21715,0.76006,0.0011222,0.0011222,0.0011222
135,2027.91,0.36997,0.21148,0.76861,0.99989,1,0.995,0.93138,0.40764,0.21421,0.76301,0.0011156,0.0011156,0.0011156
136,2042.9,0.37493,0.21592,0.76824,0.99989,1,0.995,0.9079,0.49719,0.25903,0.76569,0.001109,0.001109,0.001109
137,2057.86,0.39997,0.2214,0.76946,0.99989,1,0.995,0.90023,0.49196,0.2567,0.76627,0.0011024,0.0011024,0.0011024
138,2072.82,0.38874,0.21599,0.76947,0.99988,1,0.995,0.91916,0.42861,0.24511,0.76374,0.0010958,0.0010958,0.0010958
139,2087.75,0.37192,0.21355,0.7677,0.99989,1,0.995,0.92403,0.42342,0.23544,0.7629,0.0010892,0.0010892,0.0010892
140,2101.11,0.39093,0.21684,0.76869,0.99987,1,0.995,0.92687,0.42749,0.23026,0.76209,0.0010826,0.0010826,0.0010826
141,2114.11,0.37669,0.21421,0.7682,0.99989,1,0.995,0.94288,0.38588,0.21925,0.76141,0.001076,0.001076,0.001076
142,2127.77,0.38478,0.214,0.76862,0.99988,1,0.995,0.9213,0.43086,0.23509,0.7636,0.0010694,0.0010694,0.0010694
143,2140.9,0.35587,0.20439,0.7697,0.99989,1,0.995,0.9242,0.419,0.23655,0.7626,0.0010628,0.0010628,0.0010628
144,2156.01,0.37684,0.21382,0.76765,0.9999,1,0.995,0.92368,0.40514,0.233,0.76329,0.0010562,0.0010562,0.0010562
145,2170.94,0.36847,0.21151,0.76689,0.99987,1,0.995,0.91407,0.43962,0.2449,0.76296,0.0010496,0.0010496,0.0010496
146,2185.89,0.39143,0.22031,0.77154,0.99987,1,0.995,0.93084,0.40396,0.23634,0.76254,0.001043,0.001043,0.001043
147,2198.89,0.35993,0.20724,0.76834,0.99989,1,0.995,0.94253,0.38568,0.21427,0.76003,0.0010364,0.0010364,0.0010364
148,2211.96,0.36373,0.21148,0.7696,0.99986,1,0.995,0.92971,0.40933,0.2365,0.76058,0.0010298,0.0010298,0.0010298
149,2226.86,0.36888,0.21458,0.76798,0.99986,1,0.995,0.93016,0.40329,0.22267,0.76305,0.0010232,0.0010232,0.0010232
150,2240.25,0.36576,0.20937,0.77046,0.99983,1,0.995,0.92716,0.40113,0.22623,0.76342,0.0010166,0.0010166,0.0010166
151,2255.28,0.35366,0.20441,0.76915,0.99988,1,0.995,0.92522,0.40202,0.22372,0.76109,0.00101,0.00101,0.00101
152,2268.41,0.36059,0.2074,0.7677,0.99988,1,0.995,0.93719,0.39142,0.20792,0.76093,0.0010034,0.0010034,0.0010034
153,2283.47,0.35484,0.2053,0.76364,0.99989,1,0.995,0.92277,0.4395,0.22816,0.76157,0.0009968,0.0009968,0.0009968
154,2298.46,0.35344,0.20834,0.76918,0.99989,1,0.995,0.93749,0.3799,0.21254,0.76069,0.0009902,0.0009902,0.0009902
155,2313.51,0.37112,0.21186,0.76901,0.9999,1,0.995,0.93069,0.40801,0.22288,0.76194,0.0009836,0.0009836,0.0009836
156,2328.64,0.34658,0.2017,0.76665,0.9999,1,0.995,0.93525,0.37509,0.21555,0.76208,0.000977,0.000977,0.000977
157,2341.66,0.35032,0.19988,0.77014,0.99987,1,0.995,0.92439,0.41221,0.23155,0.76161,0.0009704,0.0009704,0.0009704
158,2354.69,0.35688,0.20504,0.76833,0.99985,1,0.995,0.9337,0.39809,0.23179,0.76173,0.0009638,0.0009638,0.0009638
159,2369.68,0.35477,0.20295,0.76806,0.99989,1,0.995,0.93685,0.3959,0.22995,0.76155,0.0009572,0.0009572,0.0009572
160,2385.06,0.35023,0.20361,0.76623,0.99989,1,0.995,0.93336,0.40558,0.2283,0.76211,0.0009506,0.0009506,0.0009506
161,2398.09,0.34119,0.20141,0.76648,0.99989,1,0.995,0.93877,0.38135,0.22589,0.76118,0.000944,0.000944,0.000944
162,2413.11,0.35237,0.20444,0.76586,0.99988,1,0.995,0.93393,0.38998,0.23418,0.76258,0.0009374,0.0009374,0.0009374
163,2428.11,0.34318,0.19796,0.7653,0.99989,1,0.995,0.94552,0.37289,0.22248,0.76146,0.0009308,0.0009308,0.0009308
164,2443.11,0.34739,0.19792,0.76422,0.99989,1,0.995,0.95284,0.36083,0.20851,0.76052,0.0009242,0.0009242,0.0009242
165,2458.12,0.36866,0.20511,0.7698,0.99989,1,0.995,0.9495,0.36606,0.21602,0.76109,0.0009176,0.0009176,0.0009176
166,2473.04,0.33967,0.20002,0.76455,0.99989,1,0.995,0.94514,0.37213,0.22285,0.76142,0.000911,0.000911,0.000911
167,2487.92,0.35029,0.19992,0.76799,0.99989,1,0.995,0.93428,0.39333,0.22465,0.76297,0.0009044,0.0009044,0.0009044
168,2503.03,0.34133,0.19842,0.7655,0.99989,1,0.995,0.93576,0.4077,0.23231,0.76216,0.0008978,0.0008978,0.0008978
169,2516.09,0.33135,0.19251,0.76683,0.99989,1,0.995,0.94045,0.37011,0.21472,0.76051,0.0008912,0.0008912,0.0008912
170,2529.54,0.34913,0.19838,0.76772,0.99989,1,0.995,0.92147,0.43118,0.22937,0.76081,0.0008846,0.0008846,0.0008846
171,2545.15,0.36138,0.20017,0.77023,0.99989,1,0.995,0.94567,0.36903,0.20976,0.75882,0.000878,0.000878,0.000878
172,2560.45,0.35225,0.1998,0.76723,0.9999,1,0.995,0.94587,0.38423,0.21628,0.76126,0.0008714,0.0008714,0.0008714
173,2575.43,0.326,0.18866,0.76638,0.99989,1,0.995,0.94305,0.36578,0.21155,0.76003,0.0008648,0.0008648,0.0008648
174,2589.27,0.34067,0.19574,0.76507,0.9999,1,0.995,0.90467,0.48589,0.25444,0.76399,0.0008582,0.0008582,0.0008582
175,2604.28,0.37709,0.21019,0.76538,0.99989,1,0.995,0.9217,0.45922,0.24641,0.76365,0.0008516,0.0008516,0.0008516
176,2619.36,0.34982,0.20128,0.76692,0.99989,1,0.995,0.93466,0.38625,0.22335,0.76173,0.000845,0.000845,0.000845
177,2635.2,0.33482,0.19556,0.7644,0.99989,1,0.995,0.93888,0.3923,0.21466,0.76168,0.0008384,0.0008384,0.0008384
178,2649.06,0.34145,0.1967,0.76512,0.99989,1,0.995,0.94493,0.37185,0.21056,0.76015,0.0008318,0.0008318,0.0008318
179,2662.39,0.33748,0.19816,0.76773,0.9999,1,0.995,0.93958,0.38089,0.21104,0.76141,0.0008252,0.0008252,0.0008252
180,2677.06,0.33884,0.1984,0.76764,0.9999,1,0.995,0.9256,0.40412,0.22212,0.76183,0.0008186,0.0008186,0.0008186
181,2691.01,0.35142,0.20396,0.76564,0.9999,1,0.995,0.93512,0.37139,0.21415,0.76041,0.000812,0.000812,0.000812
182,2705.99,0.3587,0.20078,0.7684,0.99989,1,0.995,0.94191,0.34709,0.20259,0.75867,0.0008054,0.0008054,0.0008054
183,2720.91,0.33387,0.1911,0.76543,0.99989,1,0.995,0.93799,0.36272,0.20003,0.75996,0.0007988,0.0007988,0.0007988
184,2735.92,0.32322,0.18837,0.76498,0.9999,1,0.995,0.91963,0.42153,0.23389,0.76185,0.0007922,0.0007922,0.0007922
185,2749.85,0.34475,0.1951,0.76533,0.9999,1,0.995,0.9394,0.36748,0.21024,0.76015,0.0007856,0.0007856,0.0007856
186,2765.69,0.33128,0.18827,0.76461,0.99989,1,0.995,0.93525,0.3739,0.20715,0.76056,0.000779,0.000779,0.000779
187,2781.33,0.32196,0.1879,0.76413,0.99989,1,0.995,0.93377,0.3864,0.20991,0.76005,0.0007724,0.0007724,0.0007724
188,2796.34,0.32725,0.19099,0.76522,0.99989,1,0.995,0.93027,0.39607,0.21243,0.76174,0.0007658,0.0007658,0.0007658
189,2809.75,0.32346,0.18828,0.76497,0.99989,1,0.995,0.92804,0.40277,0.21737,0.7616,0.0007592,0.0007592,0.0007592
190,2823.14,0.32937,0.19038,0.76611,0.9999,1,0.995,0.94399,0.36822,0.20566,0.76106,0.0007526,0.0007526,0.0007526
191,2836.91,0.32843,0.19157,0.76448,0.99989,1,0.995,0.94201,0.35396,0.20003,0.76031,0.000746,0.000746,0.000746
192,2851.86,0.31591,0.18912,0.76513,0.99987,1,0.995,0.94012,0.35893,0.20778,0.75995,0.0007394,0.0007394,0.0007394
193,2866.87,0.32298,0.18872,0.76709,0.99989,1,0.995,0.93968,0.37507,0.21104,0.76045,0.0007328,0.0007328,0.0007328
194,2880.77,0.31992,0.18552,0.76546,0.99989,1,0.995,0.93826,0.37431,0.21056,0.76103,0.0007262,0.0007262,0.0007262
195,2894.57,0.32928,0.18792,0.76718,0.99987,1,0.995,0.94286,0.36903,0.20153,0.76154,0.0007196,0.0007196,0.0007196
